,index,height,weight,birthDate,collegeName,position,displayName
423,423,73,205,1991-01-24,Rutgers,FS,Duron Harmon
424,424,6-4,260,02/24/1990,Clemson,TE,Dwayne Allen
425,425,70,215,1987-09-16,East Carolina,WR,Dwayne Harris
426,426,73,223,1994-04-24,Washington,RB,Dwayne Washington
427,427,72,237,1994-05-19,Missouri State,ILB,Dylan Cole
428,428,6-2,199,11/30/1993,Michigan,DB,Dymonte Thomas
429,429,70,191,1992-02-23,Missouri,CB,E.J. Gaines
430,430,70,202,1989-05-07,Texas,FS,Earl Thomas
431,431,76,250,1987-07-25,Oregon,TE,Ed Dickson
432,432,75,318,1994-01-06,Florida State,NT,Eddie Goldman
433,433,72,202,1993-12-10,Alabama,FS,Eddie Jackson
434,434,5-10,210,12/17/1988,Oregon,SS,Eddie Pleasant
435,435,75,259,1993-04-24,Wyoming,DE,Eddie Yarbrough
436,436,72,238,1994-04-22,Houston,MLB,Elandon Roberts
437,437,73,203,1995-08-09,Ohio State,CB,Eli Apple
438,438,6-3,243,01/20/1994,Virginia,DE,Eli Harold
439,439,6-5,218,01/03/1981,Mississippi,QB,Eli Manning
440,440,5-10,187,12/23/1992,Louisville,WR,Eli Rogers
441,441,74,229,1996-02-08,Kansas State,LB,Elijah Lee
442,442,70,214,1994-06-01,Louisiana-Lafayette,RB,Elijah McGuire
443,443,73,234,1993-08-17,Idaho,RB,Elijhaa Penny
444,444,6-4,245,06/08/1989,Kansas State,OLB,Emmanuel Lamur
445,445,71,180,1987-03-17,Southern Methodist,WR,Emmanuel Sanders
446,446,77,214,1996-09-30,Notre Dame,WR,Equanimeous St. Brown
447,447,6-0,212,12/29/1988,Tennessee,SS,Eric Berry
448,448,76,253,1993-04-10,North Carolina,TE,Eric Ebron
449,449,72,232,1992-02-29,UCLA,MLB,Eric Kendricks
450,450,6-3,255,08/06/1994,South Florida,DE,Eric Lee
451,451,71,199,1994-01-07,Minnesota,FS,Eric Murray
452,452,73,215,1991-12-10,Louisiana State,SS,Eric Reid
453,453,73,205,1992-10-03,Utah,CB,Eric Rowe
454,454,77,253,1994-05-01,Drake,TE,Eric Saubert
455,455,78,263,1992-04-22,Texas-El Paso,TE,Eric Tomlinson
456,456,5-11,195,01/04/1985,Utah,FS,Eric Weddle
457,457,73,230,1994-09-26,Cincinnati,OLB,Eric Wilson
458,458,74,220,1990-04-02,"California, Pa.",SS,Erik Harris
459,459,76,255,1992-05-08,Miami,TE,Erik Swoope
460,460,75,240,1994-09-02,Mississippi,TE,Evan Engram
461,461,75,273,1987-12-22,Southern California,DE,Everson Griffen
462,462,72,228,1995-07-22,Ohio State,RB,Ezekiel Elliott
463,463,72,204,1994-04-09,UCLA,CB,Fabian Moreau
464,464,74,215,1995-08-02,Yale,LB,Foye Oluokun
465,465,75,260,1993-06-14,Michigan,DE,Frank Clark
466,466,69,212,1983-05-14,Miami,RB,Frank Gore
467,467,6-3,254,03/05/1987,Central Michigan,OLB,Frank Zombo
468,468,75,235,1996-09-19,Washington State,LB,Frankie Luvu
469,469,75,230,1996-11-19,Brigham Young,LB,Fred Warner
470,470,6-0,195,09/07/1991,North Greenville,WR,Freddie Martino
471,471,6-5,255,03/29/1991,Purdue,TE,Gabe Holmes
472,472,72,190,1995-06-29,Ohio State,CB,Gareon Conley
473,473,77,252,1988-05-29,Michigan State,TE,Garrett Celek
474,474,75,248,1995-12-30,Northwestern,TE,Garrett Dickerson
475,475,76,230,1991-07-01,Southern Methodist,QB,Garrett Gilbert
476,476,6-1,240,07/31/1985,Florida State,LS,Garrison Sanborn
477,477,75,208,1993-02-24,Alabama,WR,Gehrig Dieter
478,478,72,250,1995-04-26,Memphis,LB,Genard Avery
479,479,6-4,265,06/04/1992,Oklahoma,DE,Geneo Grissom
480,480,75,221,1990-10-10,West Virginia,QB,Geno Smith
481,481,76,260,1993-09-16,Texas,TE,Geoff Swaim
482,482,6-4,227,03/31/1990,Boise State,FS,George Iloka
483,483,76,250,1993-10-09,Iowa,TE,George Kittle
484,484,73,202,1993-11-03,Central Arkansas,FS,George Odum
485,485,75,240,1994-06-25,South Alabama,TE,Gerald Everett
486,486,6-2,236,01/17/1991,Penn State,ILB,Gerald Hodges
487,487,76,300,1988-02-25,Oklahoma,DT,Gerald McCoy
488,488,75,211,1992-01-10,Connecticut,WR,Geremy Davis
489,489,75,202,1994-01-18,Illinois,WR,Geronimo Allison
490,490,69,205,1991-11-22,North Carolina,HB,Giovani Bernard
491,491,6-0,207,01/15/1986,New Mexico,FS,Glover Quin
492,492,71,197,1988-08-02,Notre Dame,WR,Golden Tate
493,493,69,190,1996-01-06,Penn State,CB,Grant Haley
494,494,74,195,1994-06-25,Iowa,CB,Greg Mabin
495,495,77,255,1985-03-11,Miami,TE,Greg Olsen
496,496,72,181,1996-03-08,Virginia Tech,DB,Greg Stroman
497,497,73,238,1995-04-13,Rutgers,RB,Gus Edwards
498,498,73,211,1992-12-21,Alabama,FS,Ha Ha Clinton-Dix
499,499,73,235,1994-09-22,Temple,ILB,Haason Reddick
500,500,6-3,250,11/23/1992,Monmouth (N.J.),TE,Hakeem Valles
501,501,72,235,1994-01-05,Illinois,MLB,Hardy Nickerson
502,502,74,250,1996-06-05,Boston College,OLB,Harold Landry
503,503,75,307,1996-01-25,Stanford,DT,Harrison Phillips
504,504,74,214,1989-02-02,Notre Dame,FS,Harrison Smith
505,505,76,245,1993-08-24,South Carolina,TE,Hayden Hurst
506,506,6-0,235,04/18/1992,USC,MLB,Hayes Pullard
507,507,78,301,1991-08-03,Stanford,DE,Henry Anderson
508,508,74,196,1997-03-28,Texas,CB,Holton Hill
509,509,75,240,1994-05-21,Mississippi State,LS,Hunter Bradley
510,510,75,260,1996-06-06,Indiana,TE,Ian Thomas
511,511,71,210,1992-05-13,Northwestern,FS,Ibraheim Campbell
512,512,73,190,1996-02-20,Boston College,DB,Isaac Yiadom
513,513,71,225,1993-01-08,Alabama State,RB,Isaiah Crowell
514,514,74,195,1996-02-09,Virginia Tech,WR,Isaiah Ford
515,515,75,254,1994-06-09,San Jose State,LB,Isaiah Irving
516,516,6-0,209,10/14/1992,South Carolina,S,Isaiah Johnson
517,517,73,210,1992-05-16,Georgia Tech,DB,Isaiah Johnson
518,518,68,173,1995-04-09,Georgia,WR,Isaiah McKenzie
519,519,72,210,1996-09-30,Colorado,CB,Isaiah Oliver
520,520,69,195,1995-09-11,Southern Mississippi,RB,Ito Smith
521,521,75,205,1995-05-23,Missouri,WR,J'Mon Moore
522,522,73,198,1995-11-17,Maryland,DB,J.C. Jackson
523,523,70,195,1993-08-15,Arkansas State,RB,J.D. McKissic
524,524,5-10,174,12/06/1992,West Georgia,WR,J.J. Jones
525,525,70,160,1992-04-24,Alabama-Birmingham,WR,J.J. Nelson
526,526,77,288,1989-03-22,Wisconsin,DE,J.J. Watt
527,527,72,212,1991-02-14,Georgia Southern,FS,J.J. Wilcox
528,528,78,208,1995-10-30,Alabama,P,J.K. Scott
529,529,72,202,1996-01-18,Mississippi State,DB,J.T. Gray
530,530,74,255,1996-08-24,Purdue,LB,Ja'Whaun Bentley
531,531,75,268,1989-05-10,Pittsburgh,DE,Jabaal Sheard
532,532,71,213,1995-10-04,Michigan,FS,Jabrill Peppers
533,533,74,238,1996-05-05,Wisconsin,LB,Jack Cichy
534,534,78,262,1990-05-05,Western Kentucky,TE,Jack Doyle
535,535,76,245,1993-11-18,Wyoming,TE,Jacob Hollister
536,536,76,235,1992-12-11,North Carolina State,QB,Jacoby Brissett
537,537,5-6,205,02/06/1990,Oregon State,RB,Jacquizz Rodgers
538,538,77,255,1993-02-14,South Carolina,DE,Jadeveon Clowney
539,539,70,195,1990-01-24,Central Michigan,SS,Jahleel Addae
540,540,70,196,1997-02-09,Louisville,CB,Jaire Alexander
541,541,78,250,1995-07-11,Michigan,TE,Jake Butt
542,542,76,209,1992-02-17,Wisconsin-Whitewater,WR,Jake Kumerow
543,543,74,235,1987-12-07,Ohio State,LS,Jake McQuaide
544,544,67,169,1992-10-30,Texas Tech,WR,Jakeem Grant
545,545,70,185,1996-02-02,Utah State,CB,Jalen Davis
546,546,72,191,1994-04-06,Louisiana State,CB,Jalen Mills
547,547,73,208,1994-10-24,Florida State,CB,Jalen Ramsey
548,548,72,233,1995-01-31,Tennessee,OLB,Jalen Reeves-Maybin
549,549,68,207,1993-10-15,Southern Mississippi,RB,Jalen Richard
550,550,6-3,210,12/30/1995,Arkansas-Monticello,WR,Jalen Tolliver
551,551,5-11,199,12/27/1986,Texas,RB,Jamaal Charles
552,552,72,213,1995-04-03,Brigham Young,RB,Jamaal Williams
553,553,73,213,1995-10-17,Louisiana State,SS,Jamal Adams
554,554,70,190,1995-04-03,San Diego,CB,Jamal Agnew
555,555,71,192,1990-09-29,Boise State,CB,Jamar Taylor
556,556,76,231,1994-01-06,Florida State,QB,Jameis Winston
557,557,73,212,1993-08-04,Samford,CB,James Bradberry
558,558,72,230,1994-03-09,Louisville,OLB,James Burgess
559,559,73,233,1995-05-05,Pittsburgh,RB,James Conner
560,560,75,255,1988-07-23,Brown,FB,James Develin
561,561,76,245,1992-01-14,Illinois State,TE,James O'Shaughnessy
562,562,71,213,1996-04-02,Oklahoma State,WR,James Washington
563,563,70,205,1992-02-03,Wisconsin,RB,James White
564,564,75,255,1989-10-20,Southern Mississippi,OLB,Jamie Collins
565,565,69,177,1993-06-17,Duke,WR,Jamison Crowder
566,566,73,242,1989-04-17,North Texas,FB,Jamize Olawale
567,567,5-10,173,11/20/1993,Rutgers,WR,Janarion Grant
568,568,70,190,1988-10-29,North Alabama,CB,Janoris Jenkins
569,569,73,215,1992-02-12,Samford,FS,Jaquiski Tartt
570,570,77,254,1987-04-07,South Carolina,TE,Jared Cook
571,571,76,223,1994-10-14,California,QB,Jared Goff
572,572,70,191,1989-11-25,Arkansas,WR,Jarius Wright
573,573,75,204,1990-01-08,Clemson,WR,Jaron Brown
574,574,73,245,1994-11-16,Florida,MLB,Jarrad Davis
575,575,74,210,1994-02-09,Michigan,SS,Jarrod Wilson
576,576,71,196,1992-11-28,Louisiana State,WR,Jarvis Landry
577,577,73,235,1996-03-17,Penn State,LB,Jason Cabinda
578,578,77,246,1994-02-28,Tennessee,TE,Jason Croom
579,579,71,195,1987-08-13,Rutgers,CB,Jason McCourty
580,580,77,275,1989-01-01,South Florida,OLB,Jason Pierre-Paul
581,581,71,221,1994-02-18,Akron,OLB,Jatavis Brown
582,582,71,185,1993-07-18,Florida State,CB,Javien Elliott
583,583,74,221,1994-09-11,Georgia,WR,Javon Wims
584,584,72,218,1991-08-27,Southern California,RB,Javorius Allen
585,585,6-1,191,04/06/1995,Bethune-Cookman,WR,Jawill Davis
586,586,6-0,223,06/15/1993,Boise State,RB,Jay Ajayi
587,587,72,225,1996-07-20,North Carolina State,RB,Jaylen Samuels
588,588,74,245,1995-06-14,Notre Dame,MLB,Jaylon Smith
589,589,72,226,1995-02-26,UCLA,ILB,Jayon Brown
590,590,76,215,1994-02-11,Clemson,SS,Jayron Kearse
591,591,76,235,1993-04-23,Louisiana Tech,QB,Jeff Driskel
592,592,73,212,1991-05-14,Saginaw Valley State,SS,Jeff Heath
593,593,77,255,1992-11-24,Ohio State,TE,Jeff Heuerman
594,594,6-2,249,09/27/1995,Auburn,LB,Jeff Holland
595,595,6-2,210,01/03/1991,Emporia State,CB,Jeff Richards
596,596,72,194,1995-11-16,North Texas,RB,Jeff Wilson
597,597,74,204,1993-12-20,Michigan,WR,Jehu Chesson
598,598,75,252,1993-01-17,Georgia Tech,OLB,Jeremiah Attaochu
599,599,73,230,1992-10-20,LSU,RB,Jeremy Hill
600,600,5-9,188,11/08/1988,Texas Christian,WR,Jeremy Kerley
601,601,6-0,211,12/06/1991,Michigan State,RB,Jeremy Langford
602,602,71,205,1996-08-29,South Alabama,DB,Jeremy Reaves
603,603,77,255,1994-08-10,Arkansas,TE,Jeremy Sprinkle
604,604,72,225,1995-01-14,Maryland,LB,Jermaine Carter
605,605,6-5,260,06/16/1988,Oklahoma,TE,Jermaine Gresham
606,606,73,209,1990-02-06,Washington,WR,Jermaine Kearse
607,607,5-11,195,03/12/1993,Auburn,FS,Jermaine Whitehead
608,608,74,225,1996-12-25,Ohio State,LB,Jerome Baker
609,609,75,250,1991-05-25,Southern Connecticut State,TE,Jerome Cunningham
610,610,74,254,1988-08-13,Texas Christian,DE,Jerry Hughes
611,611,79,250,1994-06-04,Penn State,TE,Jesse James
612,612,73,200,1997-02-26,Wake Forest,S,Jessie Bates
613,613,71,193,1991-07-18,Northern Illinois,FS,Jimmie Ward
614,614,74,225,1991-11-02,Eastern Illinois,QB,Jimmy Garoppolo
615,615,79,265,1986-11-24,Miami,TE,Jimmy Graham
616,616,74,210,1988-07-26,Colorado,CB,Jimmy Smith
617,617,78,245,1985-01-16,Delaware,QB,Joe Flacco
618,618,71,195,1989-04-14,Florida,CB,Joe Haden
619,619,72,231,1994-02-21,Northwestern,LB,Joe Jones
620,620,73,220,1996-07-24,Oklahoma,HB,Joe Mixon
621,621,73,245,1993-11-06,Wisconsin,MLB,Joe Schobert
622,622,73,232,1991-05-06,South Carolina State,ILB,Joe Thomas
623,623,76,231,1986-11-14,Alabama-Birmingham,QB,Joe Webb
624,624,73,226,1995-10-12,Western Kentucky,LB,Joel Iyiegbuniwe
625,625,71,179,1990-04-03,Pittsburg State,WR,John Brown
626,626,76,288,1996-09-26,Stephen F. Austin,DE,John Franklin-Myers
627,627,72,209,1995-12-19,Boston College,SS,John Johnson
628,628,70,205,1996-10-04,Tennessee,RB,John Kelly
629,629,6-5,251,06/11/1987,Virginia,TE,John Phillips
630,630,71,194,1995-11-27,Washington,WR,John Ross
631,631,74,260,1990-10-14,Ohio State,DE,John Simon
632,632,71,185,1984-04-16,South Carolina,CB,Johnathan Joseph
633,633,77,241,1990-02-08,Oregon State,P,Johnny Hekker
634,634,75,190,1991-08-22,Cincinnati,WR,Johnny Holton
635,635,76,232,1994-11-23,Oregon,TE,Johnny Mundt
636,636,72,219,1990-07-23,Stanford,CB,Johnson Bademosi
637,637,73,245,1991-05-05,Florida,ILB,Jon Bostic
638,638,75,296,1993-10-22,Florida,DE,Jonathan Bullard
639,639,70,190,1993-09-20,Auburn,CB,Jonathan Jones
640,640,5-10,245,03/21/1987,Oregon,RB,Jonathan Stewart
641,641,72,217,1994-02-02,Arkansas,RB,Jonathan Williams
642,642,75,248,1995-08-22,Florida International,TE,Jonnu Smith
643,643,76,243,1992-04-19,Central Florida,TE,Jordan Akins
644,644,77,195,1991-03-18,Eastern Kentucky,P,Jordan Berry
645,645,71,200,1990-12-25,Towson,S,Jordan Dangerfield
646,646,75,242,1995-01-27,Oklahoma,OLB,Jordan Evans
647,647,76,240,1996-02-01,Central Florida,HB,Jordan Franks
648,648,73,236,1992-06-27,Texas,MLB,Jordan Hicks
649,649,72,224,1994-11-02,Indiana,RB,Jordan Howard
650,650,75,259,1994-07-01,Georgia,OLB,Jordan Jenkins
651,651,77,258,1995-01-31,Clemson,TE,Jordan Leggett
652,652,73,190,1993-08-02,Penn State,FS,Jordan Lucas
653,653,75,215,1992-07-16,Vanderbilt,WR,Jordan Matthews
654,654,72,191,1991-04-25,Oregon State,FS,Jordan Poyer
655,655,74,242,1990-07-03,Florida,TE,Jordan Reed
656,656,71,210,1993-01-21,Stanford,SS,Jordan Richards
657,657,77,277,1996-08-02,Mississippi State,TE,Jordan Thomas
658,658,70,198,1997-03-18,Pittsburgh,DB,Jordan Whitehead
659,659,73,217,1994-07-18,Mississippi,RB,Jordan Wilkins
660,660,6-3,217,05/31/1985,Kansas State,WR,Jordy Nelson
661,661,73,236,1994-12-25,Iowa,LB,Josey Jewell
662,662,74,225,1996-10-29,Notre Dame,RB,Josh Adams
663,663,77,237,1996-05-21,Wyoming,QB,Josh Allen
664,664,72,208,1989-05-18,Louisville,WR,Josh Bellamy
665,665,73,235,1989-08-24,Auburn,ILB,Josh Bynes
666,666,74,205,1992-12-03,Texas Christian,WR,Josh Doctson
667,667,75,225,1991-04-13,Utah,WR,Josh Gordon
668,668,76,245,1994-02-20,Louisville,ILB,Josh Harvey-Clemons
669,669,70,190,1993-01-23,East Carolina,CB,Josh Hawkins
670,670,77,250,1990-05-21,Idaho State,TE,Josh Hill
671,671,72,196,1996-04-03,Iowa,CB,Josh Jackson
672,672,6-3,219,05/15/1986,San Diego,QB,Josh Johnson
673,673,74,220,1994-09-20,North Carolina State,SS,Josh Jones
674,674,6-2,225,01/23/1993,Boston College,OLB,Josh Keyes
675,675,72,215,1990-11-19,Texas A&M,K,Josh Lambo
676,676,75,205,1996-03-21,Tennessee,WR,Josh Malone
677,677,75,245,1991-11-07,Columbia,OLB,Josh Martin
678,678,76,218,1979-07-04,Sam Houston State,QB,Josh McCown
679,679,72,200,1987-12-15,Coastal Carolina,CB,Josh Norman
680,680,75,223,1993-08-05,Washington,TE,Josh Perkins
681,681,75,196,1995-02-16,Texas A&M,WR,Josh Reynolds
682,682,5-10,200,01/08/1991,Central Florida,CB,Josh Robinson
683,683,76,215,1997-02-10,UCLA,QB,Josh Rosen
684,684,6-1,197,03/27/1992,USC,CB,Josh Shaw
685,685,75,216,1995-01-26,Tennessee,QB,Joshua Dobbs
686,686,5-11,195,06/25/1994,Auburn,CB,Joshua Holsey
687,687,70,195,1995-08-31,Michigan,CB,Jourdan Lewis
688,688,73,215,1996-11-22,Southern California,WR,JuJu Smith-Schuster
689,689,70,200,1986-05-22,Kent State,WR,Julian Edelman
690,690,73,230,1990-09-02,Wagner,ILB,Julian Stanford
691,691,75,220,1989-02-08,Alabama,WR,Julio Jones
692,692,6-7,295,01/18/1980,North Carolina,DE,Julius Peppers
693,693,71,190,1993-03-27,Tennessee,CB,Justin Coleman
694,694,6-1,199,11/11/1995,USC,RB,Justin Davis
695,695,72,199,1995-08-26,Texas A&M,SS,Justin Evans
696,696,73,200,1994-02-07,Illinois,DB,Justin Hardee
697,697,70,192,1991-12-18,East Carolina,WR,Justin Hardy
698,698,75,270,1989-01-21,Georgia,DE,Justin Houston
699,699,6-4,203,05/20/1991,Tennessee,WR,Justin Hunter
700,700,72,200,1996-04-22,Northwestern,RB,Justin Jackson
701,701,76,265,1994-12-23,Southern Methodist,DE,Justin Lawler
702,702,72,222,1993-07-05,Akron,OLB,Justin March
703,703,73,204,1997-02-15,Stanford,SS,Justin Reid
704,704,74,202,1993-11-19,Boston College,SS,Justin Simmons
705,705,75,215,1996-04-04,Pennsylvania,WR,Justin Watson
706,706,69,183,1991-07-12,Pittsburgh,CB,K'Waun Williams
707,707,76,246,1989-07-23,Mississippi State,OLB,K.J. Wright
708,708,74,231,1995-12-22,Arizona State,RB,Kalen Ballage
709,709,5-11,203,10/01/1996,Boston College,DB,Kam Moore
710,710,75,241,1994-04-27,Boise State,ILB,Kamalei Correa
711,711,6-2,216,05/30/1989,Central Florida,WR,Kamar Aiken
712,712,76,245,1992-08-20,Portland State,LS,Kameron Canaday
713,713,74,230,1994-05-16,Eastern Illinois,OLB,Kamu Grugier-Hill
714,714,5-10,203,01/10/1993,Colorado State,RB,Kapri Bibbs
715,715,71,216,1995-08-06,Toledo,RB,Kareem Hunt
716,716,70,185,1988-04-10,Alabama,CB,Kareem Jackson
717,717,78,262,1992-02-19,North Carolina,OLB,Kareem Martin
718,718,70,200,1993-09-08,West Virginia,SS,Karl Joseph
719,719,6-2,253,08/17/1989,Boston College,OLB,Kasim Edebali
720,720,72,220,1994-08-11,Central Michigan,SS,Kavon Frazier
721,721,75,315,1989-02-02,Purdue,DT,Kawann Short
722,722,71,190,1991-02-01,South Florida,CB,Kayvon Webster
723,723,73,216,1995-07-26,Florida,FS,Keanu Neal
724,724,73,194,1993-04-20,Kentucky Wesleyan,WR,Keelan Cole
725,725,74,211,1992-04-27,California,WR,Keenan Allen
726,726,5-10,191,12/13/1993,Navy,WR,Keenan Reynolds
727,727,71,196,1993-10-19,Notre Dame,CB,KeiVarae Russell
728,728,70,185,1996-04-17,Western Carolina,DB,Keion Crossen
729,729,6-1,223,07/26/1995,Washington,LB,Keishawn Bierria
730,730,5-10,219,04/18/1994,Texas A&M,RB,Keith Ford
731,731,75,210,1994-12-26,Temple,WR,Keith Kirkwood
732,732,72,240,1992-04-08,San Jose State,FB,Keith Smith
733,733,5-10,205,02/12/1989,West Virginia,FS,Keith Tandy
734,734,71,180,1997-01-14,Texas Tech,WR,Keke Coutee
735,735,6-5,245,02/05/1991,Florida State,WR,Kelvin Benjamin
736,736,6-2,249,01/02/1988,LSU,MLB,Kelvin Sheppard
737,737,72,206,1991-05-06,Central Florida,FS,Kemal Ishmael
738,738,73,180,1993-02-08,Colorado,CB,Ken Crawley
739,739,71,198,1995-02-13,Virginia Tech,CB,Kendall Fuller
740,740,73,203,1995-08-04,Eastern Washington,WR,Kendrick Bourne
741,741,6-0,205,06/16/1988,Mississippi,FS,Kendrick Lewis
742,742,69,195,1989-04-28,Oregon,RB,Kenjon Barner
743,743,70,228,1994-01-21,Louisiana Tech,RB,Kenneth Dixon
744,744,73,180,1992-05-16,Youngstown State,CB,Kenneth Durden
745,745,76,213,1993-11-03,Northern Illinois,WR,Kenny Golladay
746,746,6-0,200,06/23/1992,Vanderbilt,S,Kenny Ladler
747,747,69,190,1995-08-23,Valdosta State,CB,Kenny Moore II
748,748,73,202,1992-04-22,Oklahoma,WR,Kenny Stills
749,749,72,214,1991-02-15,Texas,SS,Kenny Vaccaro
750,750,73,235,1994-11-15,UCLA,LB,Kenny Young
751,751,71,200,1994-08-11,Louisiana Tech,SS,Kentrell Brice
752,752,73,242,1993-02-08,Missouri,MLB,Kentrell Brothers
753,753,73,211,1994-01-26,Alabama,RB,Kenyan Drake
754,754,6-1,215,09/11/1994,Arkansas,WR,Keon Hatcher
755,755,71,212,1997-06-30,Auburn,RB,Kerryon Johnson
756,756,71,212,1993-08-17,Middle Tennessee,FS,Kevin Byard
757,757,72,185,1992-08-05,Wake Forest,CB,Kevin Johnson
758,758,75,200,1995-05-05,Washington,CB,Kevin King
759,759,72,246,1990-12-03,Louisiana State,MLB,Kevin Minter
760,760,72,230,1991-10-07,Boston College,ILB,Kevin Pierre-Louis
761,761,74,199,1995-11-24,Louisiana State,DB,Kevin Toliver
762,762,75,216,1992-06-25,West Virginia,WR,Kevin White
763,763,74,205,1995-01-03,Prairie View,WR,KhaDarel Hodge
764,764,76,253,1992-01-16,Bowie State,TE,Khari Lee
765,765,75,239,1990-08-14,Oregon,OLB,Kiko Alonso
766,766,75,202,1988-08-19,Michigan State,QB,Kirk Cousins
767,767,6-2,235,12/09/1988,Idaho,MLB,Korey Toomer
768,768,71,208,1988-04-01,Ohio State,SS,Kurt Coleman
769,769,73,227,1994-08-03,Louisiana State,MLB,Kwon Alexander
770,770,75,211,1996-03-08,Houston,QB,Kyle Allen
771,771,75,250,1991-08-16,North Dakota State,OLB,Kyle Emanuel
772,772,71,194,1992-02-16,Virginia Tech,CB,Kyle Fuller
773,773,73,240,1991-04-23,Harvard,FB,Kyle Juszczyk
774,774,74,219,1995-03-17,Richmond,QB,Kyle Lauletta
775,775,73,310,1986-11-18,Mississippi State,NT,Kyle Love
776,776,78,265,1989-11-09,Notre Dame,TE,Kyle Rudolph
777,777,75,250,1991-03-26,Brigham Young,OLB,Kyle Van Noy
778,778,76,240,1989-04-26,Wake Forest,OLB,Kyle Wilber
779,779,6-1,303,06/10/1983,Louisiana State,DT,Kyle Williams
780,780,77,245,1991-11-25,Utah State,OLB,Kyler Fackrell
781,781,76,260,1994-10-11,Utah,LB,Kylie Fitts
782,782,74,216,1996-03-24,West Virginia,LB,Kyzir White
783,783,72,232,1990-01-03,Northern Iowa,ILB,L.J. Fort
784,784,73,240,1990-11-03,Virginia,MLB,LaRoy Reynolds
785,785,71,195,1992-09-24,Pittsburgh,CB,Lafayette Pitts
786,786,74,212,1997-01-07,Louisville,QB,Lamar Jackson
787,787,70,221,1991-04-25,Miami,RB,Lamar Miller
788,788,68,185,1990-11-27,Florida State,FS,Lamarcus Joyner
789,789,75,250,1988-01-30,Wisconsin,TE,Lance Kendricks
790,790,72,218,1994-01-10,Alabama,SS,Landon Collins
791,791,73,216,1995-11-26,Michigan,SS,Lano Hill
792,792,74,215,1995-06-14,Mississippi,WR,Laquon Treadwell
793,793,75,218,1983-08-31,Pittsburgh,WR,Larry Fitzgerald
794,794,75,230,1990-01-18,Central Florida,RB,Latavius Murray
795,795,73,233,1990-01-23,Nebraska,OLB,Lavonte David
796,796,6-0,247,12/05/1986,Oregon,RB,LeGarrette Blount
797,797,71,210,1988-07-12,Pittsburgh,RB,LeSean McCoy
798,798,72,203,1993-09-18,Southern Utah,CB,LeShaun Sims
799,799,78,265,1987-11-21,Marshall,TE,Lee Smith
800,800,76,256,1996-02-08,Boise State,LB,Leighton Vander Esch
801,801,72,196,1993-11-07,Oklahoma State,CB,Lenzy Pipkins
802,802,5-11,195,12/09/1984,Michigan,CB,Leon Hall
803,803,74,245,1995-10-03,Wisconsin,LB,Leon Jacobs
804,804,77,240,1992-09-08,Georgia,OLB,Leonard Floyd
805,805,72,228,1995-01-18,Louisiana State,RB,Leonard Fournette
806,806,5-10,194,03/30/1990,Iowa State,CB,Leonard Johnson
807,807,77,302,1994-06-20,Southern California,DE,Leonard Williams
808,808,6-1,215,01/24/1994,Rutgers,WR,Leonte Carroo
809,809,75,249,1990-08-26,Florida,DE,Lerentee McCray
810,810,72,179,1995-06-12,Alabama,CB,Levi Wallace
811,811,80,268,1991-07-30,Stanford,TE,Levine Toilolo
812,812,76,329,1988-10-10,East Carolina,DT,Linval Joseph
813,813,77,200,1995-07-28,Mississippi State,P,Logan Cooke
814,814,6-5,268,02/26/1987,UCLA,TE,Logan Paulsen
815,815,71,195,1991-02-09,Rutgers,CB,Logan Ryan
816,816,78,250,1991-07-01,Virginia Tech,TE,Logan Thomas
817,817,73,245,1983-05-31,California,OLB,Lorenzo Alexander
818,818,77,250,1995-12-10,Georgia,OLB,Lorenzo Carter
819,819,6-3,238,04/20/1991,Boston College,MLB,Luke Kuechly
820,820,77,253,1988-07-17,Tennessee,TE,Luke Stocker
821,821,77,254,1990-01-15,Rice,TE,Luke Willson
822,822,71,205,1995-09-16,North Carolina,CB,M.J. Stewart
823,823,70,192,1993-11-12,Clemson,CB,Mackensie Alexander
824,824,6-2,196,10/12/1995,LSU,WR,Malachi Dupre
825,825,71,222,1993-05-15,Texas,RB,Malcolm Brown
826,826,71,190,1990-03-02,West Alabama,CB,Malcolm Butler
827,827,72,204,1987-12-20,Ohio State,SS,Malcolm Jenkins
828,828,72,225,1989-07-05,Southern California,OLB,Malcolm Smith
829,829,73,212,1996-04-02,Ohio State,FS,Malik Hooker
830,830,77,290,1990-01-11,Tennessee,DT,Malik Jackson
831,831,74,240,1996-11-15,Texas,LB,Malik Jefferson
832,832,74,200,1996-01-30,Illinois,WR,Malik Turner
833,833,73,241,1991-01-26,Notre Dame,MLB,Manti Te'o
834,834,78,267,1984-05-19,UCLA,TE,Marcedes Lewis
835,835,76,216,1994-09-16,Oklahoma State,WR,Marcell Ateman
836,836,72,208,1994-06-09,Florida,FS,Marcell Harris
837,837,74,215,1996-08-07,Penn State,DB,Marcus Allen
838,838,6-2,197,02/01/1990,Rutgers,CB,Marcus Cooper
839,839,5-10,200,12/08/1988,Clemson,FS,Marcus Gilchrist
840,840,73,207,1994-08-05,Texas,WR,Marcus Johnson
841,841,76,210,1995-08-14,Hawaii,WR,Marcus Kemp
842,842,76,222,1993-10-30,Oregon,QB,Marcus Mariota
843,843,72,207,1993-03-09,Florida,FS,Marcus Maye
844,844,69,195,1991-10-03,Missouri,RB,Marcus Murphy
845,845,72,197,1993-01-09,Washington,CB,Marcus Peters
